,rcdts,type,school_name,district,city,school_type,chronic_absenteeism,chronic_absenteeism_hispanic_or_latino,percent_ela_proficiency,percent_ela_proficiency_hispanic_or_latino,percent_math_proficiency,percent_math_proficiency_hispanic_or_latino,percent_science_proficiency,percent_science_proficiency_hispanic_or_latino,school_name_2,school_id,address,grade_cat,lat,long,geometry,commnty
382,1.50163E+14,School,Swift Elem Specialty School,City of Chicago SD 299,Chicago,ELEMENTARY,31.2,35.4,23.4,13.8,13.6,3.3,43.8,43.5,Swift,610196,5900 N WINTHROP AVE,ES,41.98913906,-87.65829608,c(-87.6582960802554,EDGEWATER
383,1.50163E+14,School,Talcott Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,23,22.6,27.4,24.3,16.3,16.3,36.6,35.1,Talcott,610197,1840 W OHIO ST,ES,41.89240461,-87.67372272,c(-87.6737227247134,WEST TOWN
384,1.50163E+14,School,Talman Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,38.6,37.9,30.1,30,16,16.5,32.3,32.8,Talman,610249,5450 S TALMAN AVE,ES,41.79404805,-87.69026084,c(-87.6902608387575,GAGE PARK
385,1.50163E+14,School,Tanner Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,51.5,NA,9.7,NA,2.3,NA,19.4,NA,Tanner,610279,7350 S EVANS AVE,ES,41.76067264,-87.60679104,c(-87.606791035188,GREATER GRAND CROSSING
386,1.50163E+14,School,Tarkington Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,31.4,29.1,20.2,21.4,7.5,8.7,24.3,26,Tarkington,610396,3330 W 71ST ST,ES,41.76440708,-87.70644465,c(-87.7064446486183,CHICAGO LAWN
387,1.50163E+14,School,Taylor Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,44.8,43.3,18,19.8,10.8,11.5,25,25,Taylor,610198,9912 S AVENUE H,ES,41.71547038,-87.53297077,c(-87.5329707674937,EAST SIDE
388,1.50163E+14,School,Telpochcalli Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,42.7,44.4,10.8,7.8,9.4,7,31.8,28.6,Telpochcalli,609921,2832 W 24TH BLVD,ES,41.84794743,-87.69600588,c(-87.6960058794166,SOUTH LAWNDALE
389,1.50163E+14,School,Thorp  J N Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,44.7,48.3,10.7,13.2,6.3,5.3,6.3,0,Thorp J,610200,8914 S BUFFALO AVE,ES,41.73332424,-87.54427998,c(-87.5442799762555,SOUTH CHICAGO
390,1.50163E+14,School,Thorp  O A Elem Scholastic Acad,City of Chicago SD 299,Chicago,ELEMENTARY,18.3,18,56.5,52.3,37.9,31.8,61.6,53.1,Thorp O,610201,6024 W WARWICK AVE,ES,41.94857131,-87.77763129,c(-87.7776312947391,DUNNING
391,1.50163E+14,School,Till Elem Math & Science Academy,City of Chicago SD 299,Chicago,ELEMENTARY,55.9,NA,7.2,NA,1.1,NA,16.3,NA,Till,610065,6543 S CHAMPLAIN AVE,ES,41.77542384,-87.60935721,c(-87.6093572110117,WOODLAWN
392,1.50163E+14,School,Tilton Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,45.7,72.7,5.2,6.7,2.6,0,25,NA,Tilton,610202,223 N KEELER AVE,ES,41.88410224,-87.73056638,c(-87.7305663846436,WEST GARFIELD PARK
393,1.50163E+14,School,Turner-Drew Elem Language Academy,City of Chicago SD 299,Chicago,ELEMENTARY,26.1,NA,23.4,NA,11.7,NA,21.7,NA,Turner-Drew,609895,9300 S PRINCETON AVE,ES,41.72560922,-87.63016448,c(-87.6301644788476,ROSELAND
394,1.50163E+14,School,Twain Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,27.3,27.3,43.2,43.8,21.6,21.2,56.7,56.8,Twain,610206,5134 S LOTUS AVE,ES,41.7990464,-87.7589284,c(-87.7589284007224,GARFIELD RIDGE
395,1.50163E+14,School,Vanderpoel Elem Magnet School,City of Chicago SD 299,Chicago,ELEMENTARY,16.5,NA,28.8,NA,9.6,NA,33.9,NA,Vanderpoel,610207,9510 S PROSPECT AVE,ES,41.72081703,-87.66555862,c(-87.6655586213383,BEVERLY
396,1.50163E+14,School,Volta Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,28.9,34.8,7.8,5,8.3,4.3,30.5,26.1,Volta,610209,4950 N AVERS AVE,ES,41.971634,-87.72460522,c(-87.7246052240886,ALBANY PARK
397,1.50163E+14,School,Wacker Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,18,NA,16.3,NA,9.9,NA,38.3,NA,Wacker,610366,9746 S MORGAN ST,ES,41.7161933,-87.64804432,c(-87.648044323475,WASHINGTON HEIGHTS
398,1.50163E+14,School,Wadsworth Elem School,City of Chicago SD 299,Chicago,ELEMENTARY,49.2,NA,11.5,NA,4.1,NA,24.2,NA,Wadsworth,610213,6650 S ELLIS AVE,ES,41.7734779,-87.60101811,c(-87.6010181127759,WOODLAWN
