"","GISJOIN","STATE","state_county","YEAR","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","South American","Other Hispanic or Latino","Total Hispanic or Latino","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"44","G1700310040400","Illinois","17031",2000,1624,296,76,4,277,190,338,2805,5,206,15,2,6,31,12,9,0,4,111,28,0,24,1,7,6,7,18,2,311,"Cook"
"45","G1700310040500","Illinois","17031",2000,109,27,12,0,21,9,21,199,0,11,0,0,1,5,4,0,0,0,4,4,0,1,0,0,0,1,5,0,15,"Cook"
"46","G1700310040600","Illinois","17031",2000,319,101,28,1,54,50,96,649,2,42,1,1,1,6,1,3,3,0,16,11,0,6,3,0,8,0,4,0,92,"Cook"
"47","G1700310040700","Illinois","17031",2000,743,112,23,2,108,60,109,1157,6,55,18,1,0,16,12,3,0,1,15,34,0,6,0,0,1,6,13,0,90,"Cook"
"48","G1700310040800","Illinois","17031",2000,145,59,6,0,51,20,53,334,0,29,19,0,0,1,2,1,0,0,6,1,2,9,0,0,1,0,1,1,51,"Cook"
"49","G1700310040900","Illinois","17031",2000,230,48,3,0,49,43,38,411,0,49,0,0,0,0,0,0,4,0,15,14,4,5,0,0,1,0,5,0,33,"Cook"
"50","G1700310041000","Illinois","17031",2000,360,48,12,0,32,35,44,531,0,25,0,0,0,6,1,0,3,1,16,4,0,5,0,0,6,0,1,0,43,"Cook"
"51","G1700310050100","Illinois","17031",2000,147,72,9,0,41,37,52,358,0,26,0,2,1,0,12,2,0,0,13,15,0,5,0,1,1,0,8,0,44,"Cook"
"52","G1700310050200","Illinois","17031",2000,460,119,28,0,89,114,103,913,0,69,5,7,2,2,4,4,0,1,59,32,0,8,1,6,3,4,9,0,90,"Cook"
"53","G1700310050300","Illinois","17031",2000,283,95,7,1,59,74,85,604,0,46,3,0,1,3,6,0,1,1,32,32,0,8,0,0,0,2,6,0,77,"Cook"
"54","G1700310050400","Illinois","17031",2000,71,43,8,0,9,27,26,184,0,4,5,0,0,0,0,2,0,0,4,11,0,10,0,0,0,0,9,0,17,"Cook"
"55","G1700310050500","Illinois","17031",2000,236,105,26,4,28,29,35,463,3,19,0,0,0,2,4,1,1,0,15,4,0,5,0,0,3,0,5,0,30,"Cook"
"56","G1700310050600","Illinois","17031",2000,101,52,6,0,19,17,18,213,1,12,1,0,0,1,4,0,0,0,9,3,0,1,1,1,2,0,0,0,18,"Cook"
"57","G1700310050700","Illinois","17031",2000,134,64,1,0,18,6,20,243,0,13,1,0,0,4,0,2,0,0,1,0,0,3,0,0,0,0,0,0,20,"Cook"
"58","G1700310050800","Illinois","17031",2000,152,32,2,1,4,7,14,212,1,2,0,0,0,1,0,1,0,0,4,1,0,0,0,0,1,1,1,2,10,"Cook"
"59","G1700310050900","Illinois","17031",2000,188,121,3,0,10,33,34,389,0,8,2,0,0,0,0,1,0,0,8,18,0,4,0,0,2,0,0,1,33,"Cook"
"60","G1700310051000","Illinois","17031",2000,247,62,7,0,41,20,43,420,0,32,5,1,2,0,1,0,1,4,1,9,0,5,0,0,0,0,0,0,43,"Cook"
"61","G1700310051100","Illinois","17031",2000,213,75,5,0,14,23,34,364,0,11,0,3,0,0,0,0,0,0,7,2,0,10,0,3,1,0,1,0,33,"Cook"
