"","GISJOIN","STATE","state_county","YEAR","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","South American","Other Hispanic or Latino","Total Hispanic or Latino","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"955","G1700310804401","Illinois","17031",2000,3040,149,17,4,16,26,212,3464,0,3,0,0,0,13,0,0,0,0,13,6,0,5,0,1,1,2,16,4,190,"Cook"
"956","G1700310804402","Illinois","17031",2000,1712,165,10,3,24,35,119,2068,1,6,1,0,1,15,0,0,0,1,23,8,0,3,0,0,0,1,4,0,114,"Cook"
"957","G1700310804501","Illinois","17031",2000,317,80,22,2,21,32,57,531,2,16,1,0,0,2,0,0,1,2,12,8,0,6,0,2,1,3,8,5,41,"Cook"
"958","G1700310804503","Illinois","17031",2000,2281,125,7,3,112,81,220,2829,5,57,12,5,1,31,1,5,0,16,39,16,0,3,0,2,0,4,8,3,205,"Cook"
"959","G1700310804504","Illinois","17031",2000,4388,81,14,0,74,23,248,4828,0,25,7,1,0,36,5,0,0,0,7,4,0,4,0,2,6,1,16,0,231,"Cook"
"960","G1700310804505","Illinois","17031",2000,150,36,7,0,8,11,28,240,0,0,0,0,1,6,1,0,0,0,2,0,0,4,5,0,0,1,3,0,24,"Cook"
"961","G1700310804603","Illinois","17031",2000,420,51,17,0,12,33,49,582,0,1,2,0,1,8,0,4,0,5,8,3,0,12,1,0,0,1,8,0,40,"Cook"
"962","G1700310804604","Illinois","17031",2000,288,67,29,1,19,35,56,495,1,14,0,0,2,2,0,7,4,1,14,1,0,5,0,3,0,9,10,0,37,"Cook"
"963","G1700310804605","Illinois","17031",2000,96,19,26,0,12,37,47,237,0,5,0,4,0,3,0,3,3,0,13,12,2,1,0,1,2,3,12,5,27,"Cook"
"964","G1700310804606","Illinois","17031",2000,144,66,6,0,6,13,35,270,0,2,0,0,3,0,1,3,1,2,4,1,1,1,0,0,0,7,8,1,19,"Cook"
"965","G1700310804607","Illinois","17031",2000,119,39,8,2,10,26,33,237,0,9,0,0,0,0,1,1,2,2,5,12,0,1,0,3,0,0,5,5,23,"Cook"
"966","G1700310804701","Illinois","17031",2000,591,71,16,8,32,55,105,878,0,13,0,1,0,18,0,3,2,4,26,11,0,5,0,0,4,7,5,0,93,"Cook"
"967","G1700310804705","Illinois","17031",2000,358,46,8,2,25,45,68,552,0,25,0,0,0,0,0,0,2,0,11,16,0,12,0,0,4,0,11,0,57,"Cook"
"968","G1700310804706","Illinois","17031",2000,50,16,5,0,4,9,8,92,0,2,0,0,1,1,0,1,0,0,7,0,0,1,0,0,0,0,0,0,8,"Cook"
"969","G1700310804707","Illinois","17031",2000,301,51,18,1,26,31,59,487,3,9,1,3,4,2,4,3,0,1,18,3,0,2,0,0,4,2,7,2,48,"Cook"
"970","G1700310804708","Illinois","17031",2000,1622,63,17,1,34,48,113,1898,0,13,2,1,6,11,1,1,1,1,14,14,0,10,1,4,2,0,10,0,103,"Cook"
"971","G1700310804709","Illinois","17031",2000,586,51,10,2,26,42,54,771,0,8,0,0,0,18,0,4,0,0,12,19,0,0,1,0,6,2,6,0,46,"Cook"
"972","G1700310804710","Illinois","17031",2000,145,30,0,0,5,18,23,221,0,4,1,0,0,0,0,0,1,0,4,13,0,0,0,0,0,2,2,0,19,"Cook"
"973","G1700310804711","Illinois","17031",2000,565,62,6,3,22,54,106,818,0,4,5,0,3,10,0,0,7,0,32,7,0,2,0,5,1,4,19,2,81,"Cook"
"974","G1700310804712","Illinois","17031",2000,202,32,5,6,4,23,43,315,0,1,0,0,2,1,0,0,0,4,11,3,0,5,0,0,0,1,5,0,37,"Cook"
"975","G1700310804803","Illinois","17031",2000,207,25,7,4,9,20,46,318,1,6,0,0,0,2,0,12,0,0,4,4,0,0,0,0,0,1,5,4,36,"Cook"
"976","G1700310804804","Illinois","17031",2000,593,45,20,0,29,34,78,799,2,10,5,0,0,12,0,6,0,1,15,5,0,6,0,1,0,0,11,1,66,"Cook"
"977","G1700310804805","Illinois","17031",2000,406,43,18,0,20,23,62,572,2,8,0,0,0,8,2,3,0,2,6,4,0,7,0,0,1,0,7,2,53,"Cook"
"978","G1700310804806","Illinois","17031",2000,604,32,16,12,48,24,88,824,4,29,1,4,1,9,0,4,0,0,20,0,0,0,0,0,0,0,8,3,77,"Cook"
"979","G1700310804807","Illinois","17031",2000,249,26,2,0,7,10,24,318,3,3,0,1,0,0,0,0,0,1,2,2,0,5,0,0,0,1,8,0,15,"Cook"
"980","G1700310804808","Illinois","17031",2000,39,13,9,2,10,13,26,112,0,4,0,0,0,0,6,0,0,0,0,5,0,8,0,0,0,0,6,0,20,"Cook"
"981","G1700310804809","Illinois","17031",2000,88,18,14,0,5,10,24,159,0,4,0,0,1,0,0,1,0,4,2,2,0,1,0,0,0,0,2,0,22,"Cook"
"982","G1700310804810","Illinois","17031",2000,264,26,11,1,8,34,61,405,0,2,1,0,0,2,3,1,0,3,16,3,0,3,2,1,5,2,3,0,56,"Cook"
"983","G1700310804901","Illinois","17031",2000,148,28,20,4,7,14,17,238,0,2,0,0,5,0,0,0,0,0,0,9,1,4,0,0,0,0,0,0,17,"Cook"
"984","G1700310804902","Illinois","17031",2000,182,23,21,0,5,33,27,291,2,3,0,0,0,0,0,1,17,0,1,10,0,4,0,0,0,3,5,0,19,"Cook"
"985","G1700310805001","Illinois","17031",2000,67,18,15,3,0,11,25,139,0,0,0,0,0,0,0,0,0,0,4,2,0,5,0,0,0,0,1,0,24,"Cook"
"986","G1700310805002","Illinois","17031",2000,726,82,7,0,48,29,73,965,2,14,5,1,4,13,9,7,0,0,7,9,0,3,0,3,0,0,14,0,59,"Cook"
"987","G1700310805105","Illinois","17031",2000,3009,67,20,2,169,44,222,3533,1,8,0,3,0,153,4,4,3,0,15,11,0,7,0,1,3,1,19,0,202,"Cook"
"988","G1700310805106","Illinois","17031",2000,28,11,0,0,3,5,12,59,0,0,1,1,0,1,0,1,0,0,0,1,0,3,0,0,0,0,2,1,9,"Cook"
"989","G1700310805107","Illinois","17031",2000,1590,55,11,1,45,29,126,1857,1,20,2,1,3,18,0,0,2,1,8,15,0,3,0,0,0,0,1,0,125,"Cook"
"990","G1700310805108","Illinois","17031",2000,1872,67,5,0,28,50,120,2142,0,9,3,0,1,15,0,2,0,1,19,19,0,6,0,3,0,4,22,0,94,"Cook"
"991","G1700310805109","Illinois","17031",2000,40,13,6,0,1,15,15,90,0,0,0,0,0,0,1,1,0,0,7,4,0,3,0,0,0,0,4,0,11,"Cook"
"992","G1700310805110","Illinois","17031",2000,47,7,4,2,0,4,15,79,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,4,0,11,"Cook"
"993","G1700310805111","Illinois","17031",2000,677,43,10,6,27,53,75,891,0,15,6,0,2,4,0,3,4,1,25,3,0,12,0,3,2,4,6,1,64,"Cook"
"994","G1700310805112","Illinois","17031",2000,649,19,7,0,6,32,42,755,0,4,0,0,0,0,2,0,0,1,5,10,0,0,0,1,15,0,1,0,41,"Cook"
"995","G1700310805201","Illinois","17031",2000,48,2,14,0,8,19,20,111,0,5,0,0,0,0,3,0,5,0,1,1,0,2,0,0,10,1,1,0,18,"Cook"
"996","G1700310805202","Illinois","17031",2000,77,10,4,8,1,15,9,124,0,1,0,0,0,0,0,1,0,0,6,7,0,1,0,0,0,0,2,0,7,"Cook"
"997","G1700310805301","Illinois","17031",2000,59,11,8,2,16,32,11,139,2,10,0,4,0,0,0,2,1,0,22,6,0,1,0,0,0,1,1,0,9,"Cook"
"998","G1700310805302","Illinois","17031",2000,70,23,11,0,4,29,32,169,0,4,0,0,0,0,0,0,3,0,8,0,0,9,0,2,7,0,4,0,28,"Cook"
"999","G1700310805401","Illinois","17031",2000,64,21,5,0,15,15,13,133,0,10,2,0,0,3,0,0,0,1,4,4,0,1,0,0,5,0,0,0,13,"Cook"
"1000","G1700310805402","Illinois","17031",2000,64,40,14,0,7,19,26,170,1,6,0,0,0,0,0,0,2,3,7,1,0,6,0,0,0,0,2,0,24,"Cook"
"1001","G1700310805501","Illinois","17031",2000,32,14,6,0,4,1,10,67,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,6,"Cook"
"1002","G1700310805502","Illinois","17031",2000,49,2,5,0,1,10,7,74,0,1,0,0,0,0,0,3,0,1,1,0,1,4,0,0,0,0,0,0,7,"Cook"
"1003","G1700310805600","Illinois","17031",2000,35,18,10,0,2,7,10,82,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,2,1,0,7,"Cook"
"1004","G1700310805701","Illinois","17031",2000,53,11,17,0,1,8,8,98,0,0,1,0,0,0,0,0,0,0,1,1,0,4,0,1,1,1,1,0,6,"Cook"
"1005","G1700310805702","Illinois","17031",2000,17,9,6,3,1,10,4,50,0,0,0,0,1,0,0,2,0,0,2,1,0,5,0,0,0,0,3,0,1,"Cook"
"1006","G1700310805801","Illinois","17031",2000,30,9,6,0,1,3,2,51,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,"Cook"
"1007","G1700310805802","Illinois","17031",2000,54,15,12,0,4,18,9,112,1,3,0,0,0,0,0,1,0,1,6,1,0,3,1,3,2,0,1,0,8,"Cook"
"1008","G1700310805901","Illinois","17031",2000,72,19,18,3,8,18,38,176,1,5,0,0,0,2,0,0,0,0,13,2,0,0,0,0,3,0,4,3,31,"Cook"
"1009","G1700310805902","Illinois","17031",2000,304,27,16,0,6,33,22,408,1,0,0,0,0,5,0,2,0,0,15,4,0,1,5,0,6,4,2,2,14,"Cook"
"1010","G1700310806001","Illinois","17031",2000,572,21,9,1,28,35,51,717,0,5,1,9,0,12,1,2,0,0,18,8,0,7,0,0,0,3,3,0,45,"Cook"
"1011","G1700310806002","Illinois","17031",2000,621,44,10,12,29,70,68,854,4,13,1,0,0,11,0,5,0,0,30,9,0,23,1,2,0,0,7,0,61,"Cook"
"1012","G1700310806003","Illinois","17031",2000,596,63,15,1,30,55,111,871,1,3,0,0,2,23,1,0,2,4,13,29,0,6,0,1,0,0,15,0,96,"Cook"
"1013","G1700310806004","Illinois","17031",2000,486,32,24,0,19,101,93,755,0,10,0,0,2,7,0,0,0,0,10,84,1,5,1,0,0,1,9,0,83,"Cook"
"1014","G1700310806101","Illinois","17031",2000,840,54,16,0,52,51,102,1115,0,9,0,0,8,34,1,0,4,0,15,13,0,6,0,8,5,2,12,0,88,"Cook"
"1015","G1700310806102","Illinois","17031",2000,277,13,9,1,13,30,36,379,2,3,1,0,0,7,0,0,0,4,10,5,0,7,0,2,2,3,1,2,30,"Cook"
"1016","G1700310806200","Illinois","17031",2000,709,47,6,1,27,24,77,891,0,12,1,1,1,11,1,6,0,7,2,2,0,6,0,0,1,2,22,0,53,"Cook"
"1017","G1700310806300","Illinois","17031",2000,459,59,8,1,18,11,49,605,3,13,1,0,1,0,0,0,0,0,2,7,0,2,0,0,0,0,9,0,40,"Cook"
"1018","G1700310806400","Illinois","17031",2000,279,7,6,1,6,7,21,327,0,5,0,1,0,0,0,1,2,0,0,4,0,0,0,0,0,0,2,0,19,"Cook"
"1019","G1700310806501","Illinois","17031",2000,1084,15,8,0,40,8,40,1195,1,29,1,2,0,3,4,0,0,0,1,5,0,0,0,0,2,0,5,0,35,"Cook"
"1020","G1700310806502","Illinois","17031",2000,640,36,8,0,38,21,62,805,0,14,11,0,0,10,3,1,0,0,9,1,0,5,0,0,5,4,8,1,49,"Cook"
"1021","G1700310806600","Illinois","17031",2000,237,47,7,0,16,33,20,360,0,1,5,1,0,9,0,1,0,1,9,11,0,0,6,3,2,1,6,0,13,"Cook"
"1022","G1700310806700","Illinois","17031",2000,80,20,17,0,3,29,18,167,0,3,0,0,0,0,0,4,0,0,9,2,0,7,1,2,4,3,0,0,15,"Cook"
"1023","G1700310806801","Illinois","17031",2000,91,8,17,5,5,31,33,190,0,4,0,1,0,0,0,4,0,1,18,3,0,3,0,2,0,1,5,0,27,"Cook"
"1024","G1700310806802","Illinois","17031",2000,25,11,19,0,10,30,28,123,0,6,0,0,3,0,1,0,2,0,17,7,0,4,0,0,0,0,2,0,26,"Cook"
"1025","G1700310806900","Illinois","17031",2000,124,3,13,0,2,32,9,183,0,0,0,1,0,0,1,5,7,0,10,3,0,4,0,0,3,0,0,0,9,"Cook"
"1026","G1700310807000","Illinois","17031",2000,101,40,29,5,17,63,59,314,0,2,5,0,0,6,4,4,8,0,8,13,0,24,0,2,4,1,1,1,56,"Cook"
"1027","G1700310807100","Illinois","17031",2000,39,17,28,4,17,44,24,173,0,6,0,0,6,5,0,8,3,4,12,10,1,0,3,3,0,1,2,2,19,"Cook"
"1028","G1700310807200","Illinois","17031",2000,156,49,33,1,50,76,46,411,0,26,1,7,6,9,1,2,4,9,11,18,0,28,0,4,0,1,12,0,33,"Cook"
"1029","G1700310807300","Illinois","17031",2000,165,35,46,1,19,33,49,348,0,8,5,1,0,4,1,3,5,3,10,5,0,2,0,1,4,1,6,0,42,"Cook"
"1030","G1700310807400","Illinois","17031",2000,127,56,43,14,79,61,74,454,0,30,36,5,0,1,7,2,14,0,9,21,0,5,0,4,6,4,13,0,57,"Cook"
"1031","G1700310807500","Illinois","17031",2000,88,31,28,0,16,25,24,212,0,10,0,0,5,1,0,1,0,0,6,6,0,12,0,0,0,1,0,0,23,"Cook"
"1032","G1700310807600","Illinois","17031",2000,140,82,70,1,25,82,82,482,0,13,2,0,0,2,8,6,11,4,16,17,0,16,3,2,7,1,2,2,77,"Cook"
"1033","G1700310807700","Illinois","17031",2000,157,12,41,0,15,34,54,313,0,8,1,2,1,2,1,1,3,4,7,11,0,7,0,0,1,2,7,0,45,"Cook"
"1034","G1700310807800","Illinois","17031",2000,61,15,35,0,12,29,52,204,1,10,0,0,0,1,0,2,8,0,4,11,0,3,0,1,0,4,6,2,40,"Cook"
"1035","G1700310807900","Illinois","17031",2000,58,10,33,0,6,34,24,165,0,0,1,5,0,0,0,6,2,1,18,1,0,2,0,3,1,0,3,0,21,"Cook"
"1036","G1700310808001","Illinois","17031",2000,39,11,28,0,11,30,14,133,0,11,0,0,0,0,0,1,7,0,7,5,2,3,0,1,4,0,2,0,12,"Cook"
"1037","G1700310808002","Illinois","17031",2000,70,20,23,0,19,49,38,219,8,8,1,0,0,2,0,11,2,3,11,7,0,13,0,1,1,0,7,3,28,"Cook"
"1038","G1700310808100","Illinois","17031",2000,33,17,2,0,14,6,31,103,0,4,0,0,0,7,3,0,0,0,5,0,0,0,0,0,1,2,6,0,23,"Cook"
"1039","G1700310808200","Illinois","17031",2000,62,37,13,0,25,22,17,176,0,22,0,0,0,3,0,1,0,7,11,2,0,1,0,0,0,0,1,0,16,"Cook"
"1040","G1700310808301","Illinois","17031",2000,102,28,12,2,11,36,15,206,0,10,0,0,1,0,0,2,4,0,13,7,0,4,0,0,6,0,2,0,13,"Cook"
"1041","G1700310808302","Illinois","17031",2000,102,15,19,0,8,46,18,208,0,7,1,0,0,0,0,2,4,1,10,19,1,7,0,0,2,1,0,0,17,"Cook"
"1042","G1700310808400","Illinois","17031",2000,96,37,13,2,1,32,29,210,1,0,0,0,0,0,0,2,5,0,8,6,0,10,0,1,0,3,5,0,21,"Cook"
"1043","G1700310808500","Illinois","17031",2000,82,19,19,0,6,25,14,165,0,0,1,4,0,1,0,2,1,0,8,6,0,2,6,0,0,0,1,0,13,"Cook"
"1044","G1700310808600","Illinois","17031",2000,9,4,3,0,1,5,6,28,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,5,"Cook"
"1045","G1700310808702","Illinois","17031",2000,83,26,35,3,9,46,65,267,0,2,0,1,2,3,1,6,0,6,10,2,0,15,1,2,4,0,6,1,58,"Cook"
"1046","G1700310808800","Illinois","17031",2000,43,12,8,0,7,21,33,124,0,4,2,0,1,0,0,2,1,2,8,0,0,1,0,6,1,5,4,0,24,"Cook"
"1047","G1700310808900","Illinois","17031",2000,35,12,3,2,5,8,22,87,1,3,0,0,0,0,1,0,0,1,3,0,0,3,0,0,1,1,6,0,15,"Cook"
"1048","G1700310809000","Illinois","17031",2000,27,8,11,0,10,10,8,74,3,1,0,0,6,0,0,6,0,0,2,2,0,0,0,0,0,0,8,0,0,"Cook"
"1049","G1700310809100","Illinois","17031",2000,30,7,2,3,3,11,11,67,1,0,1,1,0,0,0,1,1,0,5,0,0,0,0,3,1,2,0,0,9,"Cook"
"1050","G1700310809200","Illinois","17031",2000,259,34,6,0,7,11,56,373,0,6,0,0,1,0,0,0,0,0,4,0,2,0,0,5,0,0,1,0,55,"Cook"
"1051","G1700310809300","Illinois","17031",2000,37,15,14,1,14,49,33,163,1,5,1,2,2,3,0,18,0,3,8,0,1,12,2,5,0,4,12,0,17,"Cook"
"1052","G1700310809400","Illinois","17031",2000,82,15,7,7,11,49,34,205,2,5,2,1,0,1,0,8,0,2,8,6,0,17,0,5,3,2,10,0,22,"Cook"
"1053","G1700310809500","Illinois","17031",2000,58,16,21,1,9,13,23,141,4,3,1,0,0,1,0,0,0,0,6,0,0,5,1,1,0,4,2,0,17,"Cook"
"1054","G1700310809600","Illinois","17031",2000,228,19,7,0,23,11,33,321,1,3,0,3,8,7,1,4,0,3,1,0,0,3,0,0,0,1,10,0,22,"Cook"
"1055","G1700310809700","Illinois","17031",2000,558,24,7,2,23,12,50,676,0,0,8,1,9,4,1,0,0,4,2,0,0,4,0,0,2,0,13,0,37,"Cook"
"1056","G1700310809800","Illinois","17031",2000,37,8,4,4,1,21,24,99,0,0,0,0,0,1,0,8,1,4,4,1,0,3,0,0,0,2,4,0,18,"Cook"
"1057","G1700310809900","Illinois","17031",2000,27,5,9,2,3,5,9,60,0,1,0,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,9,"Cook"
"1058","G1700310810000","Illinois","17031",2000,73,13,8,3,20,18,25,160,0,13,1,0,6,0,0,3,2,2,6,2,0,2,0,1,0,7,1,0,17,"Cook"
"1059","G1700310810100","Illinois","17031",2000,197,26,13,5,33,27,36,337,0,11,3,0,1,8,10,6,4,2,7,4,0,3,0,1,0,3,3,0,30,"Cook"
"1060","G1700310810200","Illinois","17031",2000,472,40,25,0,32,15,55,639,0,11,0,0,15,1,5,1,0,3,5,0,0,1,0,1,4,2,6,0,47,"Cook"
"1061","G1700310810301","Illinois","17031",2000,391,23,14,4,15,20,27,494,0,4,0,0,2,8,1,0,0,3,6,8,0,3,0,0,0,0,3,0,24,"Cook"
"1062","G1700310810302","Illinois","17031",2000,157,26,15,0,5,25,24,252,0,1,1,0,3,0,0,3,0,6,5,1,0,9,0,1,0,0,4,0,20,"Cook"
"1063","G1700310810400","Illinois","17031",2000,72,39,28,0,5,29,17,190,0,5,0,0,0,0,0,5,0,0,7,3,2,7,0,2,3,0,5,0,12,"Cook"
"1064","G1700310810501","Illinois","17031",2000,71,26,3,0,1,19,22,142,0,1,0,0,0,0,0,2,3,0,6,8,0,0,0,0,0,3,5,0,14,"Cook"
"1065","G1700310810502","Illinois","17031",2000,140,60,17,0,4,24,30,275,0,2,2,0,0,0,0,0,0,0,10,6,0,4,0,3,1,4,4,0,22,"Cook"
"1066","G1700310810600","Illinois","17031",2000,133,49,6,2,14,28,53,285,1,7,0,0,0,0,6,1,0,0,12,11,2,0,0,2,0,4,14,0,35,"Cook"
"1067","G1700310810701","Illinois","17031",2000,316,161,12,2,37,37,75,640,0,28,2,0,0,5,2,7,0,0,10,13,0,6,0,0,1,1,2,1,71,"Cook"
"1068","G1700310810702","Illinois","17031",2000,261,96,12,4,5,36,55,469,0,4,1,0,0,0,0,4,0,0,9,13,0,6,0,0,4,2,11,0,42,"Cook"
"1069","G1700310810800","Illinois","17031",2000,235,120,9,0,5,18,39,426,0,0,0,0,0,1,4,2,0,0,2,13,0,1,0,0,0,0,6,2,31,"Cook"
"1070","G1700310810900","Illinois","17031",2000,458,198,33,6,22,100,78,895,4,11,6,0,0,1,0,38,2,0,28,20,0,11,1,0,0,4,3,0,71,"Cook"
"1071","G1700310811000","Illinois","17031",2000,164,81,10,2,24,25,62,368,3,10,6,0,1,4,0,1,1,2,15,3,0,3,0,0,0,0,3,1,58,"Cook"
"1072","G1700310811100","Illinois","17031",2000,330,129,38,1,13,25,49,585,0,13,0,0,0,0,0,2,0,2,14,1,0,2,1,0,3,0,6,0,43,"Cook"
"1073","G1700310811200","Illinois","17031",2000,426,154,17,0,36,25,80,738,0,25,0,0,1,10,0,3,0,0,9,5,0,8,0,0,0,1,6,0,73,"Cook"
"1074","G1700310811301","Illinois","17031",2000,1318,125,26,1,49,25,105,1649,0,38,1,0,1,4,5,0,0,4,9,1,0,10,0,1,0,0,10,0,95,"Cook"
"1075","G1700310811302","Illinois","17031",2000,1522,129,102,0,83,36,153,2025,0,62,7,4,2,3,5,0,0,3,7,6,0,12,0,3,5,4,13,1,135,"Cook"
"1076","G1700310811401","Illinois","17031",2000,1228,122,28,1,48,28,142,1597,0,23,15,0,3,6,1,0,0,2,12,7,0,5,0,0,2,2,15,6,119,"Cook"
"1077","G1700310811402","Illinois","17031",2000,1030,155,40,2,52,32,79,1390,0,42,2,2,0,4,2,3,9,0,12,1,0,7,0,0,0,2,8,0,69,"Cook"
"1078","G1700310811500","Illinois","17031",2000,1483,110,27,5,42,39,104,1810,0,35,1,0,0,4,2,1,0,4,16,8,0,8,0,0,2,0,3,0,101,"Cook"
"1079","G1700310811600","Illinois","17031",2000,1161,164,21,1,52,47,103,1549,5,35,0,0,1,6,5,9,0,1,14,10,1,6,0,5,1,0,10,0,93,"Cook"
"1080","G1700310811701","Illinois","17031",2000,2712,52,3,0,23,4,160,2954,0,16,2,0,0,4,1,0,0,0,1,1,0,1,0,0,1,5,12,0,143,"Cook"
"1081","G1700310811702","Illinois","17031",2000,1258,105,39,0,59,16,105,1582,0,57,0,0,1,1,0,0,0,0,7,0,0,9,0,0,0,1,5,0,99,"Cook"
"1082","G1700310811800","Illinois","17031",2000,979,142,76,0,76,33,102,1408,1,54,7,1,0,2,11,4,0,0,8,11,0,10,0,0,0,2,8,1,91,"Cook"
"1083","G1700310811900","Illinois","17031",2000,114,28,19,10,8,43,42,264,1,4,0,0,2,1,0,3,9,3,5,7,0,10,0,5,1,6,9,1,26,"Cook"
"1084","G1700310812000","Illinois","17031",2000,99,22,10,0,12,24,35,202,0,2,1,8,1,0,0,2,4,4,4,1,0,8,0,0,1,2,11,0,22,"Cook"
"1085","G1700310812100","Illinois","17031",2000,77,43,10,1,9,18,16,174,0,6,0,1,1,1,0,4,0,2,3,1,0,8,0,0,0,0,1,0,15,"Cook"
"1086","G1700310812200","Illinois","17031",2000,55,23,9,0,20,33,29,169,0,4,0,5,6,0,5,12,2,0,8,0,0,8,0,3,0,10,3,0,16,"Cook"
"1087","G1700310812300","Illinois","17031",2000,153,30,18,0,13,32,26,272,0,4,0,5,2,2,0,3,1,3,8,2,1,4,3,4,3,4,5,0,17,"Cook"
"1088","G1700310812400","Illinois","17031",2000,36,13,5,1,3,13,25,96,0,1,0,0,2,0,0,1,0,0,5,0,1,5,0,1,0,3,7,0,15,"Cook"
"1089","G1700310812500","Illinois","17031",2000,61,12,3,0,5,9,17,107,0,1,1,3,0,0,0,2,0,1,0,0,0,0,0,5,1,1,2,0,14,"Cook"
"1090","G1700310812600","Illinois","17031",2000,77,31,1,1,8,30,27,175,0,4,4,0,0,0,0,0,1,8,15,0,1,4,0,0,1,3,5,0,19,"Cook"
"1091","G1700310812700","Illinois","17031",2000,88,32,7,3,4,15,18,167,2,0,1,1,0,0,0,0,0,8,3,0,0,3,1,0,0,1,5,0,12,"Cook"
"1092","G1700310812800","Illinois","17031",2000,124,22,20,5,11,36,32,250,3,2,1,1,1,3,0,7,3,1,4,4,3,5,0,8,1,1,4,0,27,"Cook"
"1093","G1700310812900","Illinois","17031",2000,121,18,18,0,7,37,24,225,1,4,0,0,2,0,0,6,0,4,1,7,2,9,0,7,1,1,5,0,18,"Cook"
"1094","G1700310813000","Illinois","17031",2000,117,40,9,0,8,22,24,220,0,0,1,3,2,2,0,2,0,0,4,1,2,6,7,0,0,0,6,0,18,"Cook"
"1095","G1700310813100","Illinois","17031",2000,186,47,8,2,7,28,35,313,0,0,1,2,2,1,1,4,0,4,6,5,0,8,0,1,0,7,7,0,21,"Cook"
"1096","G1700310813200","Illinois","17031",2000,126,18,8,4,18,8,24,206,0,8,0,0,3,7,0,1,0,0,1,3,0,3,0,0,0,0,5,0,19,"Cook"
"1097","G1700310813300","Illinois","17031",2000,6882,207,17,7,104,41,354,7612,3,52,10,4,1,33,1,0,0,0,14,19,0,7,0,0,1,0,4,2,348,"Cook"
"1098","G1700310813400","Illinois","17031",2000,5261,278,5,9,61,21,344,5979,4,32,6,13,0,6,0,0,0,0,10,8,0,2,0,1,0,0,6,4,334,"Cook"
"1099","G1700310813500","Illinois","17031",2000,4169,216,17,7,55,80,285,4829,1,21,15,1,5,12,0,13,0,0,24,35,0,7,0,1,0,1,9,0,275,"Cook"
"1100","G1700310813600","Illinois","17031",2000,3671,124,3,0,68,51,300,4217,1,45,9,1,2,10,0,0,0,0,24,23,0,3,0,0,1,0,20,0,280,"Cook"
"1101","G1700310813700","Illinois","17031",2000,6848,195,8,15,134,26,414,7640,0,71,22,10,3,18,10,2,0,0,2,16,0,4,0,2,0,2,16,0,396,"Cook"
"1102","G1700310813800","Illinois","17031",2000,6388,189,14,12,123,49,435,7210,2,69,26,7,2,11,6,1,0,1,9,16,2,13,0,6,1,1,11,0,423,"Cook"
"1103","G1700310813900","Illinois","17031",2000,4609,179,13,3,70,43,256,5173,1,27,12,1,9,19,1,0,0,0,12,12,3,10,0,5,1,0,6,1,249,"Cook"
"1104","G1700310814000","Illinois","17031",2000,3135,120,10,0,25,18,210,3518,0,19,2,0,0,2,2,0,0,0,12,1,0,1,0,1,3,10,3,0,197,"Cook"
"1105","G1700310814100","Illinois","17031",2000,3273,105,3,8,44,33,213,3679,0,26,6,4,2,4,2,0,0,0,0,17,0,10,0,3,3,0,8,0,205,"Cook"
"1106","G1700310814200","Illinois","17031",2000,5608,191,3,25,90,51,373,6341,0,38,18,1,0,22,11,1,0,14,14,13,0,5,0,0,4,2,19,0,352,"Cook"
"1107","G1700310814300","Illinois","17031",2000,3065,115,6,0,18,24,187,3415,0,15,2,0,1,0,0,0,0,0,5,15,0,1,0,3,0,1,1,0,185,"Cook"
"1108","G1700310814400","Illinois","17031",2000,3626,272,16,2,58,47,249,4270,0,44,3,2,0,9,0,0,0,7,10,23,0,1,0,0,6,4,8,0,237,"Cook"
"1109","G1700310814500","Illinois","17031",2000,2007,140,8,8,29,60,164,2416,0,19,3,0,0,5,2,1,1,0,35,10,0,8,0,2,3,1,15,0,148,"Cook"
"1110","G1700310814600","Illinois","17031",2000,2159,165,9,2,59,31,158,2583,0,17,31,2,0,7,2,2,1,0,5,14,0,6,3,0,0,4,11,0,143,"Cook"
"1111","G1700310814700","Illinois","17031",2000,1907,214,18,0,34,55,223,2451,0,15,0,0,2,15,2,3,0,14,20,15,0,2,0,1,0,10,9,0,204,"Cook"
"1112","G1700310814800","Illinois","17031",2000,1847,170,6,7,22,99,162,2313,0,13,0,2,1,6,0,5,0,6,29,27,4,17,4,0,7,5,15,0,142,"Cook"
