"","GISJOIN","YEAR","STATE","COUNTY","state_county","Mexican","total_pop","total_his"
"1328","G17003108291",1990,"Illinois","Cook","17031",2108,4871,2279
"1329","G17003108292",1990,"Illinois","Cook","17031",843,5498,936
"1330","G1700310829301",1990,"Illinois","Cook","17031",80,3811,112
"1331","G1700310829302",1990,"Illinois","Cook","17031",249,4083,319
"1332","G1700310829401",1990,"Illinois","Cook","17031",77,2090,94
"1333","G1700310829402",1990,"Illinois","Cook","17031",107,4235,156
"1334","G17003108295",1990,"Illinois","Cook","17031",453,3575,496
"1335","G17003108296",1990,"Illinois","Cook","17031",259,3008,279
"1336","G17003108297",1990,"Illinois","Cook","17031",65,5226,95
"1337","G17003108298",1990,"Illinois","Cook","17031",40,6787,71
"1338","G1700310829901",1990,"Illinois","Cook","17031",41,5187,80
"1339","G1700310829902",1990,"Illinois","Cook","17031",68,4144,110
"1340","G1700310830001",1990,"Illinois","Cook","17031",7,1626,12
"1341","G1700310830002",1990,"Illinois","Cook","17031",218,7358,293
"1342","G1700310830003",1990,"Illinois","Cook","17031",97,4628,165
"1343","G1700310830004",1990,"Illinois","Cook","17031",103,4922,133
"1344","G1700310830005",1990,"Illinois","Cook","17031",14,3247,38
"1345","G1700310830006",1990,"Illinois","Cook","17031",35,1999,47
"1346","G17003108301",1990,"Illinois","Cook","17031",41,3397,72
"1347","G1700310830201",1990,"Illinois","Cook","17031",63,4188,91
"1348","G1700310830202",1990,"Illinois","Cook","17031",73,3399,121
"1349","G17003108303",1990,"Illinois","Cook","17031",151,5570,211
"1350","G17003108304",1990,"Illinois","Cook","17031",80,3586,101
"1351","G17003108305",1990,"Illinois","Cook","17031",21,1422,25
"1352","G1700310830898",1990,"Illinois","Cook","17031",0,0,0
"1353","G17004308400",1990,"Illinois","Dupage","17043",464,2679,558
"1354","G1700430840101",1990,"Illinois","Dupage","17043",618,5553,751
"1355","G1700430840102",1990,"Illinois","Dupage","17043",1534,10846,1875
"1356","G1700430840103",1990,"Illinois","Dupage","17043",161,5143,244
"1357","G17004308402",1990,"Illinois","Dupage","17043",168,9766,251
