"","GISJOIN","STATE","state_county","YEAR","Total Hispanic or Latino","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"178","G1700310150200","Illinois","17031",2010,2346,1201,634,35,8,189,8,128,20,10,4,19,0,198,6,0,8,73,54,0,46,0,11,0,81,24,11,0,46,"Cook"
"179","G1700310150300","Illinois","17031",2010,1878,817,566,39,9,182,11,90,23,1,0,56,1,206,3,6,2,59,92,2,33,1,7,1,59,10,2,0,47,"Cook"
"180","G1700310150401","Illinois","17031",2010,1199,622,286,31,6,104,5,84,5,0,4,6,0,109,0,0,1,42,48,2,14,0,0,2,41,6,7,0,28,"Cook"
"181","G1700310150402","Illinois","17031",2010,1224,683,253,27,1,81,1,60,10,4,2,3,1,130,1,3,0,41,51,0,31,0,1,2,49,4,6,0,39,"Cook"
"182","G1700310150501","Illinois","17031",2010,786,452,162,19,2,53,0,30,3,1,0,19,0,82,0,0,0,14,62,0,5,0,1,0,16,6,0,0,10,"Cook"
"183","G1700310150502","Illinois","17031",2010,1262,651,312,44,8,85,1,52,13,1,0,18,0,116,12,0,1,50,39,0,11,0,3,0,46,9,10,0,27,"Cook"
"184","G1700310150600","Illinois","17031",2010,1546,904,373,30,2,80,7,34,5,12,1,21,0,134,1,6,2,49,57,3,16,0,0,0,23,2,0,2,19,"Cook"
"185","G1700310150700","Illinois","17031",2010,1970,1137,426,32,50,90,7,55,11,0,0,17,0,183,1,3,5,54,94,0,23,0,0,3,52,2,9,0,41,"Cook"
"186","G1700310150800","Illinois","17031",2010,2842,1603,649,33,7,263,2,197,25,10,1,28,0,215,3,0,3,49,120,0,34,4,1,1,72,6,0,0,66,"Cook"
"187","G1700310151001","Illinois","17031",2010,1737,982,353,11,11,174,2,104,32,13,2,21,0,175,2,0,1,30,118,0,23,1,0,0,31,3,0,0,28,"Cook"
"188","G1700310151002","Illinois","17031",2010,2857,1684,569,34,5,255,3,153,14,13,0,71,1,253,9,3,7,31,159,0,28,0,12,4,57,6,0,0,51,"Cook"
"189","G1700310151100","Illinois","17031",2010,2566,1485,596,29,10,159,3,94,23,6,1,32,0,231,6,0,0,85,112,0,26,1,1,0,56,8,3,0,45,"Cook"
"190","G1700310151200","Illinois","17031",2010,1519,830,353,17,12,100,1,62,14,16,2,5,0,140,1,5,0,29,91,0,11,0,3,0,67,11,4,0,52,"Cook"
"191","G1700310160100","Illinois","17031",2010,716,391,167,30,4,83,0,48,15,3,0,17,0,30,1,3,1,11,7,2,5,0,0,0,11,0,2,0,9,"Cook"
"192","G1700310160200","Illinois","17031",2010,873,452,225,37,4,66,0,53,1,0,3,8,1,73,0,0,1,21,43,0,8,0,0,0,16,2,3,0,11,"Cook"
