"","GISJOIN","STATE","state_county","YEAR","Total Hispanic or Latino","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"1131","G1700310825801","Illinois","17031",2010,82,51,23,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,"Cook"
"1132","G1700310825802","Illinois","17031",2010,680,565,52,0,3,14,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,0,45,"Cook"
"1133","G1700310825803","Illinois","17031",2010,576,535,17,2,1,7,0,0,0,0,2,5,0,3,0,0,0,1,0,0,2,0,0,0,11,0,0,0,11,"Cook"
"1134","G1700310825900","Illinois","17031",2010,830,776,27,0,1,16,0,6,0,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,5,"Cook"
"1135","G1700310826000","Illinois","17031",2010,906,830,37,4,0,13,1,6,2,0,0,4,0,2,0,0,0,0,0,0,2,0,0,0,20,0,0,0,20,"Cook"
"1136","G1700310826100","Illinois","17031",2010,1525,1364,58,2,0,37,0,34,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,64,7,2,1,54,"Cook"
"1137","G1700310826201","Illinois","17031",2010,145,114,12,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,4,7,0,6,"Cook"
"1138","G1700310826202","Illinois","17031",2010,876,766,58,5,4,6,0,2,0,0,3,1,0,3,0,0,0,0,1,0,2,0,0,0,34,0,2,0,32,"Cook"
"1139","G1700310826301","Illinois","17031",2010,255,218,15,7,0,6,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,"Cook"
"1140","G1700310826303","Illinois","17031",2010,115,102,5,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,"Cook"
"1141","G1700310826304","Illinois","17031",2010,65,43,11,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,"Cook"
"1142","G1700310826401","Illinois","17031",2010,98,70,10,1,0,7,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,"Cook"
"1143","G1700310826402","Illinois","17031",2010,137,105,14,3,1,2,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,4,8,2,0,0,6,"Cook"
"1144","G1700310826500","Illinois","17031",2010,213,145,39,0,2,3,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,23,0,0,0,23,"Cook"
"1145","G1700310826600","Illinois","17031",2010,111,60,32,6,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,8,"Cook"
"1146","G1700310826700","Illinois","17031",2010,81,32,29,7,2,4,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,6,"Cook"
"1147","G1700310826800","Illinois","17031",2010,2123,2008,39,2,1,17,0,13,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,56,7,4,0,45,"Cook"
"1148","G1700310826901","Illinois","17031",2010,142,105,17,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,16,2,4,0,10,"Cook"
"1149","G1700310826902","Illinois","17031",2010,32,22,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,"Cook"
"1150","G1700310827000","Illinois","17031",2010,135,96,16,2,2,4,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,14,0,0,0,14,"Cook"
"1151","G1700310827100","Illinois","17031",2010,134,103,6,1,0,6,0,0,1,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17,0,0,0,17,"Cook"
"1152","G1700310827200","Illinois","17031",2010,818,755,14,7,0,15,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,4,0,23,"Cook"
"1153","G1700310827300","Illinois","17031",2010,385,318,17,0,0,12,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2,0,36,"Cook"
"1154","G1700310827400","Illinois","17031",2010,168,139,11,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,7,"Cook"
"1155","G1700310827500","Illinois","17031",2010,2044,1899,22,1,1,38,0,21,0,5,0,12,0,5,1,0,0,2,1,0,1,0,0,0,78,2,3,0,73,"Cook"
"1156","G1700310827600","Illinois","17031",2010,77,65,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,"Cook"
"1157","G1700310827700","Illinois","17031",2010,217,177,21,8,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,6,"Cook"
"1158","G1700310827801","Illinois","17031",2010,369,315,17,8,0,14,0,3,0,0,0,11,0,2,0,0,0,2,0,0,0,0,0,0,13,5,2,0,6,"Cook"
"1159","G1700310827802","Illinois","17031",2010,191,164,8,4,0,6,0,6,0,0,0,0,0,8,1,0,0,3,0,0,0,0,0,4,1,0,0,0,1,"Cook"
"1160","G1700310827804","Illinois","17031",2010,140,109,11,6,0,4,0,0,4,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,8,0,0,0,8,"Cook"
"1161","G1700310827805","Illinois","17031",2010,140,111,17,0,2,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,2,"Cook"
"1162","G1700310827901","Illinois","17031",2010,62,45,13,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,"Cook"
"1163","G1700310827902","Illinois","17031",2010,725,616,63,0,0,17,4,7,1,3,0,2,0,2,0,0,0,0,1,0,1,0,0,0,27,5,1,5,16,"Cook"
"1164","G1700310828000","Illinois","17031",2010,837,706,57,5,1,12,0,2,5,0,0,5,0,17,1,0,0,4,2,0,10,0,0,0,39,2,1,0,36,"Cook"
"1165","G1700310828100","Illinois","17031",2010,572,468,29,5,0,6,0,0,2,1,2,1,0,16,0,1,0,3,6,0,3,0,3,0,48,10,13,0,25,"Cook"
"1166","G1700310828201","Illinois","17031",2010,578,484,46,11,3,6,0,2,2,1,0,1,0,7,0,0,0,0,2,0,0,3,2,0,21,2,6,0,13,"Cook"
"1167","G1700310828202","Illinois","17031",2010,548,500,12,2,3,12,0,6,1,3,0,2,0,4,0,0,0,0,4,0,0,0,0,0,15,1,0,0,14,"Cook"
"1168","G1700310828300","Illinois","17031",2010,231,200,18,1,0,3,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,8,1,0,0,7,"Cook"
"1169","G1700310828401","Illinois","17031",2010,244,197,20,1,2,4,1,2,0,0,0,1,0,4,0,0,0,0,3,0,1,0,0,0,16,12,0,0,4,"Cook"
"1170","G1700310828402","Illinois","17031",2010,300,234,28,5,0,14,0,3,10,0,0,1,0,3,2,0,0,1,0,0,0,0,0,0,16,4,0,0,12,"Cook"
"1171","G1700310828503","Illinois","17031",2010,559,480,41,0,3,14,0,1,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,7,1,10,"Cook"
"1172","G1700310828504","Illinois","17031",2010,654,497,73,4,0,15,0,4,4,0,3,4,0,3,1,1,0,0,0,0,0,1,0,0,62,2,25,1,34,"Cook"
"1173","G1700310828505","Illinois","17031",2010,1004,915,52,0,1,17,0,16,0,0,0,1,0,4,1,0,0,0,1,0,0,0,2,0,15,8,0,0,7,"Cook"
"1174","G1700310828506","Illinois","17031",2010,681,572,63,4,3,7,0,0,0,0,4,3,0,7,0,3,0,2,0,1,1,0,0,0,25,7,0,0,18,"Cook"
"1175","G1700310828601","Illinois","17031",2010,319,268,18,5,0,6,2,1,0,3,0,0,0,13,6,0,0,6,1,0,0,0,0,0,9,4,0,0,5,"Cook"
"1176","G1700310828602","Illinois","17031",2010,273,182,42,7,4,6,3,2,0,0,1,0,0,9,5,0,0,0,0,0,4,0,0,0,23,4,1,0,18,"Cook"
"1177","G1700310828701","Illinois","17031",2010,331,253,37,3,3,6,0,3,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,27,3,1,0,23,"Cook"
"1178","G1700310828702","Illinois","17031",2010,399,328,35,6,0,3,0,0,0,0,3,0,0,3,0,0,1,2,0,0,0,0,0,0,24,5,0,0,19,"Cook"
"1179","G1700310828801","Illinois","17031",2010,612,484,71,3,1,9,0,3,0,1,5,0,0,37,2,0,1,19,0,0,5,10,0,0,7,1,4,0,2,"Cook"
"1180","G1700310828802","Illinois","17031",2010,652,572,31,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,4,35,"Cook"
"1181","G1700310828900","Illinois","17031",2010,2049,1888,34,1,4,19,1,8,10,0,0,0,0,18,11,0,0,3,0,0,0,4,0,0,85,5,18,0,62,"Cook"
"1182","G1700310829000","Illinois","17031",2010,84,77,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"1183","G1700310829100","Illinois","17031",2010,2787,2637,58,1,2,16,0,10,6,0,0,0,0,18,0,0,0,6,2,0,8,2,0,0,55,0,5,0,50,"Cook"
"1184","G1700310829200","Illinois","17031",2010,2507,2312,53,1,2,9,0,4,5,0,0,0,0,8,0,0,0,2,0,0,5,1,0,0,122,1,32,2,87,"Cook"
"1185","G1700310829301","Illinois","17031",2010,750,688,26,5,0,5,3,0,2,0,0,0,0,6,0,0,0,3,0,0,3,0,0,0,20,0,6,0,14,"Cook"
"1186","G1700310829302","Illinois","17031",2010,842,763,33,5,0,5,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,35,0,1,0,34,"Cook"
"1187","G1700310829401","Illinois","17031",2010,107,98,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,"Cook"
"1188","G1700310829402","Illinois","17031",2010,197,151,23,2,2,5,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,8,"Cook"
"1189","G1700310829500","Illinois","17031",2010,1460,1316,45,1,5,30,0,6,24,0,0,0,0,16,1,0,0,0,0,0,0,15,0,0,47,1,11,2,33,"Cook"
"1190","G1700310829600","Illinois","17031",2010,528,478,23,6,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,18,3,2,0,13,"Cook"
"1191","G1700310829700","Illinois","17031",2010,259,224,17,0,4,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,"Cook"
"1192","G1700310829800","Illinois","17031",2010,221,143,28,4,0,13,0,2,8,0,2,1,0,21,1,0,0,6,4,0,9,0,1,0,12,4,6,0,2,"Cook"
"1193","G1700310829901","Illinois","17031",2010,299,189,58,7,1,13,0,11,1,0,0,1,0,21,1,0,0,7,7,0,4,2,0,0,10,3,0,0,7,"Cook"
"1194","G1700310829902","Illinois","17031",2010,113,58,20,0,4,21,3,6,0,0,12,0,0,4,0,0,0,3,0,0,1,0,0,0,6,0,1,0,5,"Cook"
"1195","G1700310830001","Illinois","17031",2010,89,70,9,1,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,2,2,0,2,"Cook"
"1196","G1700310830003","Illinois","17031",2010,245,166,63,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,6,"Cook"
"1197","G1700310830004","Illinois","17031",2010,286,202,42,5,0,6,0,1,0,0,2,3,0,1,0,0,0,1,0,0,0,0,0,0,30,2,2,0,26,"Cook"
"1198","G1700310830005","Illinois","17031",2010,84,57,15,3,2,2,0,0,2,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,"Cook"
"1199","G1700310830006","Illinois","17031",2010,207,152,29,0,0,9,1,3,3,0,2,0,0,4,0,0,0,1,0,0,3,0,0,0,13,1,0,0,12,"Cook"
"1200","G1700310830007","Illinois","17031",2010,229,156,29,2,0,16,0,9,0,0,0,7,0,14,5,0,0,0,8,0,0,0,0,1,12,5,0,0,7,"Cook"
"1201","G1700310830008","Illinois","17031",2010,128,84,26,3,3,4,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,6,3,0,0,3,"Cook"
"1202","G1700310830100","Illinois","17031",2010,209,142,27,11,0,6,2,0,0,0,0,4,0,4,0,0,3,0,0,0,0,1,0,0,19,4,4,0,11,"Cook"
"1203","G1700310830201","Illinois","17031",2010,215,162,25,1,2,5,0,4,0,0,1,0,0,6,0,0,0,5,1,0,0,0,0,0,14,7,0,0,7,"Cook"
"1204","G1700310830202","Illinois","17031",2010,230,171,31,2,0,3,0,2,0,0,0,0,1,10,0,0,0,5,0,0,4,0,0,1,13,2,2,0,9,"Cook"
"1205","G1700310830300","Illinois","17031",2010,274,191,42,9,1,5,0,2,0,0,3,0,0,9,4,0,0,2,1,0,2,0,0,0,17,8,0,0,9,"Cook"
"1206","G1700310830400","Illinois","17031",2010,349,268,47,10,1,4,3,0,1,0,0,0,0,6,0,0,0,3,1,0,2,0,0,0,13,2,0,0,11,"Cook"
"1207","G1700310830500","Illinois","17031",2010,4506,4344,58,6,0,29,0,15,7,1,0,6,0,12,0,0,2,0,6,0,1,0,3,0,57,7,2,0,48,"Cook"
"1208","G1700310830600","Illinois","17031",2010,2200,1844,89,28,5,108,2,55,8,3,3,36,1,69,9,0,6,15,22,0,14,0,3,0,57,8,6,0,43,"Cook"
"1209","G1700310830700","Illinois","17031",2010,660,414,88,31,3,10,1,5,1,1,0,2,0,75,5,1,2,13,51,0,1,0,2,0,39,2,2,0,35,"Cook"
"1210","G1700310830800","Illinois","17031",2010,412,228,41,24,0,54,3,40,6,0,2,3,0,49,2,0,4,32,4,0,4,1,2,0,16,2,2,0,12,"Cook"
"1211","G1700310830900","Illinois","17031",2010,1154,680,277,17,4,65,0,53,1,3,0,8,0,82,7,0,0,13,40,0,13,1,1,7,29,2,5,0,22,"Cook"
"1212","G1700310831000","Illinois","17031",2010,189,116,33,14,0,6,1,1,2,2,0,0,0,12,0,0,1,5,3,0,0,1,0,2,8,3,2,0,3,"Cook"
"1213","G1700310831100","Illinois","17031",2010,4495,2787,739,41,13,250,1,215,12,5,2,14,1,518,11,1,10,33,412,1,43,0,3,4,147,11,13,1,122,"Cook"
"1214","G1700310831200","Illinois","17031",2010,4593,2746,1361,18,29,293,1,175,63,14,1,38,1,58,6,0,0,14,34,0,3,0,1,0,88,1,0,0,87,"Cook"
"1215","G1700310831300","Illinois","17031",2010,558,339,144,7,8,34,0,18,9,5,0,2,0,21,2,0,0,1,17,0,1,0,0,0,5,0,0,0,5,"Cook"
"1216","G1700310831400","Illinois","17031",2010,572,476,34,0,14,15,0,9,6,0,0,0,0,19,0,1,6,0,6,0,6,0,0,0,14,1,0,0,13,"Cook"
"1217","G1700310831500","Illinois","17031",2010,2392,1455,550,16,5,162,0,123,14,4,1,20,0,139,5,2,0,53,62,0,8,9,0,0,65,4,26,0,35,"Cook"
"1218","G1700310831600","Illinois","17031",2010,4578,2851,1148,59,33,241,0,146,49,8,1,36,1,180,15,0,0,47,81,2,31,1,3,0,66,7,1,0,58,"Cook"
"1219","G1700310831700","Illinois","17031",2010,1129,622,242,22,0,118,3,88,14,2,4,7,0,101,0,0,2,19,69,0,6,0,5,0,24,2,10,0,12,"Cook"
"1220","G1700310831800","Illinois","17031",2010,1457,787,182,75,0,157,9,79,32,2,0,30,5,214,3,0,2,50,118,0,35,4,2,0,42,5,3,0,34,"Cook"
"1221","G1700310831900","Illinois","17031",2010,207,80,59,8,0,8,1,1,3,1,0,2,0,34,8,1,0,9,10,0,2,2,2,0,18,3,8,0,7,"Cook"
"1222","G1700310832000","Illinois","17031",2010,135,78,28,6,1,2,0,0,1,0,1,0,0,17,0,0,1,3,1,1,7,0,3,1,3,3,0,0,0,"Cook"
"1223","G1700310832100","Illinois","17031",2010,315,150,62,15,4,22,0,14,7,0,1,0,0,26,2,2,2,5,7,0,8,0,0,0,36,5,5,0,26,"Cook"
"1224","G1700310832200","Illinois","17031",2010,410,245,98,12,1,13,0,3,6,0,2,2,0,25,1,1,0,13,3,0,5,0,1,1,16,7,2,0,7,"Cook"
"1225","G1700310832300","Illinois","17031",2010,332,247,29,9,2,18,0,11,6,1,0,0,0,13,1,0,2,2,0,1,4,0,3,0,14,8,0,0,6,"Cook"
"1226","G1700310832400","Illinois","17031",2010,1495,861,485,11,3,48,2,32,7,2,1,4,0,49,1,1,2,5,28,0,7,1,4,0,38,4,0,0,34,"Cook"
"1227","G1700310832500","Illinois","17031",2010,273,106,93,19,3,14,0,12,0,0,0,1,1,22,3,1,0,5,7,0,5,0,1,0,16,5,4,0,7,"Cook"
"1228","G1700310832600","Illinois","17031",2010,124,62,13,13,0,5,0,2,1,1,0,0,1,24,12,0,0,8,1,0,2,0,1,0,7,4,0,0,3,"Cook"
"1229","G1700310832900","Illinois","17031",2010,189,131,11,15,0,2,0,0,0,1,0,1,0,14,1,3,0,6,0,0,4,0,0,0,16,10,2,0,4,"Cook"
"1230","G1700310833000","Illinois","17031",2010,103,53,14,9,0,5,0,2,1,0,1,1,0,19,2,1,1,3,3,0,4,1,4,0,3,1,2,0,0,"Cook"
"1231","G1700310833100","Illinois","17031",2010,491,266,57,32,4,28,2,6,12,0,3,5,0,70,10,2,3,17,13,0,9,0,16,0,34,13,10,0,11,"Cook"
"1232","G1700310833300","Illinois","17031",2010,267,210,8,8,1,7,0,3,2,0,1,0,1,23,4,1,3,10,2,1,1,0,1,0,10,3,2,0,5,"Cook"
"1233","G1700310833900","Illinois","17031",2010,1279,1143,72,8,1,32,0,23,4,0,0,5,0,2,0,0,0,1,1,0,0,0,0,0,21,2,1,0,18,"Cook"
"1234","G1700310834000","Illinois","17031",2010,54,25,12,0,0,5,0,0,0,0,2,0,3,8,0,0,0,0,8,0,0,0,0,0,4,2,0,0,2,"Cook"
"1235","G1700310834200","Illinois","17031",2010,93,47,19,6,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,"Cook"
"1236","G1700310834300","Illinois","17031",2010,97,40,27,8,1,10,0,0,0,0,9,0,1,1,1,0,0,0,0,0,0,0,0,0,10,3,0,0,7,"Cook"
"1237","G1700310834400","Illinois","17031",2010,88,34,25,3,1,6,0,0,0,0,4,0,2,5,0,0,0,3,1,0,1,0,0,0,14,1,5,0,8,"Cook"
"1238","G1700310834500","Illinois","17031",2010,12,2,6,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"1239","G1700310834600","Illinois","17031",2010,47,14,16,1,1,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,"Cook"
"1240","G1700310834700","Illinois","17031",2010,41,6,28,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,"Cook"
"1241","G1700310834800","Illinois","17031",2010,21,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"1242","G1700310834900","Illinois","17031",2010,19,8,6,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Cook"
"1243","G1700310835000","Illinois","17031",2010,1998,1761,141,16,0,32,0,10,1,6,0,15,0,17,0,0,0,8,5,0,1,0,3,0,31,1,2,0,28,"Cook"
"1244","G1700310835100","Illinois","17031",2010,4097,3733,190,2,6,81,0,52,9,9,0,11,0,46,1,7,0,14,13,1,8,0,2,0,39,2,0,0,37,"Cook"
"1245","G1700310835200","Illinois","17031",2010,1073,949,68,1,0,12,0,9,0,3,0,0,0,25,2,0,0,3,13,0,5,0,2,0,18,1,0,0,17,"Cook"
"1246","G1700310835500","Illinois","17031",2010,40,31,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Cook"
"1247","G1700310835600","Illinois","17031",2010,92,81,5,0,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"1248","G1700310835700","Illinois","17031",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"1249","G1700310835800","Illinois","17031",2010,30,23,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"1250","G1700310835900","Illinois","17031",2010,54,23,15,4,2,3,0,0,1,0,2,0,0,3,0,0,0,0,0,0,1,0,2,0,4,0,1,0,3,"Cook"
"1251","G1700310836000","Illinois","17031",2010,30,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,"Cook"
"1252","G1700310836100","Illinois","17031",2010,21,5,12,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"1253","G1700310836200","Illinois","17031",2010,128,50,13,14,3,14,1,3,2,1,4,3,0,25,1,0,0,10,6,0,2,1,5,0,9,5,3,0,1,"Cook"
"1254","G1700310836300","Illinois","17031",2010,47,27,2,1,0,2,1,0,0,0,0,0,1,13,3,0,1,5,1,0,3,0,0,0,2,1,0,0,1,"Cook"
"1255","G1700310836400","Illinois","17031",2010,54,24,21,0,0,4,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,"Cook"
"1256","G1700310836500","Illinois","17031",2010,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"Cook"
"1257","G1700310836600","Illinois","17031",2010,1475,604,725,40,14,28,0,21,4,0,0,3,0,30,2,1,0,4,12,0,10,0,1,0,34,1,1,0,32,"Cook"
"1258","G1700310836700","Illinois","17031",2010,258,54,172,0,7,8,0,3,3,0,2,0,0,9,0,0,0,4,5,0,0,0,0,0,8,0,0,0,8,"Cook"
"1259","G1700310836800","Illinois","17031",2010,83,26,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,5,"Cook"
"1260","G1700310836900","Illinois","17031",2010,99,36,43,0,0,7,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,"Cook"
"1261","G1700310837000","Illinois","17031",2010,78,44,18,0,2,9,0,4,1,1,0,3,0,2,0,1,0,1,0,0,0,0,0,0,3,0,1,0,2,"Cook"
"1262","G1700310837100","Illinois","17031",2010,138,62,56,5,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,12,0,0,0,12,"Cook"
"1263","G1700310837300","Illinois","17031",2010,116,30,33,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,49,"Cook"
"1264","G1700310837400","Illinois","17031",2010,170,101,58,2,0,3,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,2,3,0,0,"Cook"
"1265","G1700310837800","Illinois","17031",2010,207,83,54,2,4,1,0,0,0,0,1,0,0,22,1,0,2,16,2,0,1,0,0,0,41,1,0,0,40,"Cook"
"1266","G1700310838000","Illinois","17031",2010,199,130,33,11,2,7,0,4,0,1,0,2,0,3,3,0,0,0,0,0,0,0,0,0,13,2,0,0,11,"Cook"
"1267","G1700310838100","Illinois","17031",2010,93,30,23,3,0,12,0,3,1,0,8,0,0,8,1,0,2,1,0,0,1,0,3,0,17,2,2,0,13,"Cook"
"1268","G1700310838200","Illinois","17031",2010,316,239,30,5,1,5,1,3,0,0,0,1,0,22,3,5,0,3,0,0,7,0,4,0,14,1,0,0,13,"Cook"
"1269","G1700310838300","Illinois","17031",2010,173,62,22,1,0,4,0,0,4,0,0,0,0,53,0,0,2,1,44,0,5,0,1,0,31,4,4,0,23,"Cook"
"1270","G1700310838600","Illinois","17031",2010,66,14,5,0,0,3,0,0,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,42,0,0,0,42,"Cook"
"1271","G1700310838700","Illinois","17031",2010,84,45,19,3,0,7,0,5,0,0,0,2,0,10,0,0,0,1,4,0,5,0,0,0,0,0,0,0,0,"Cook"
"1272","G1700310838800","Illinois","17031",2010,1331,1230,64,0,1,10,0,1,0,0,2,7,0,5,0,0,0,2,2,0,0,0,1,0,21,0,3,0,18,"Cook"
"1273","G1700310839000","Illinois","17031",2010,450,242,51,26,10,31,4,10,3,7,4,3,0,48,9,1,1,19,3,2,5,5,3,0,42,17,2,0,23,"Cook"
"1274","G1700310839100","Illinois","17031",2010,379,206,45,19,4,21,3,5,7,0,0,6,0,46,10,0,3,19,2,0,9,0,3,0,38,12,4,0,22,"Cook"
"1275","G1700310839200","Illinois","17031",2010,77,44,15,3,1,1,0,0,0,0,1,0,0,8,0,0,0,1,3,0,2,0,2,0,5,2,2,0,1,"Cook"
"1276","G1700310839500","Illinois","17031",2010,23,13,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"Cook"
"1277","G1700310839600","Illinois","17031",2010,64,38,14,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,5,"Cook"
"1278","G1700310839700","Illinois","17031",2010,1778,1525,131,10,1,24,4,10,5,0,1,4,0,29,0,0,0,6,12,0,10,0,1,0,58,0,4,0,54,"Cook"
"1279","G1700310839800","Illinois","17031",2010,611,491,53,1,2,24,0,21,0,0,3,0,0,9,5,0,0,1,3,0,0,0,0,0,31,0,6,0,25,"Cook"
"1280","G1700310839900","Illinois","17031",2010,1159,970,90,14,5,16,0,8,3,0,2,3,0,24,4,0,3,4,9,0,2,1,1,0,40,3,2,0,35,"Cook"
"1281","G1700310840000","Illinois","17031",2010,586,493,53,5,0,14,0,10,0,1,0,3,0,4,0,0,0,1,1,0,2,0,0,0,17,5,1,0,11,"Cook"
"1282","G1700310840100","Illinois","17031",2010,371,329,28,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,9,"Cook"
"1283","G1700310840200","Illinois","17031",2010,491,412,44,0,0,7,0,0,6,0,0,0,1,8,0,1,0,0,4,0,3,0,0,0,20,0,1,0,19,"Cook"
"1284","G1700310840300","Illinois","17031",2010,2495,2286,101,4,2,27,0,12,6,3,0,6,0,26,1,4,1,9,4,0,5,0,2,0,49,1,5,0,43,"Cook"
"1285","G1700310840400","Illinois","17031",2010,1615,1454,68,7,5,24,0,4,4,1,0,14,1,16,1,0,0,9,5,1,0,0,0,0,41,4,0,0,37,"Cook"
"1286","G1700310840700","Illinois","17031",2010,3687,3417,106,10,2,62,0,20,16,2,1,22,1,20,1,0,0,4,11,0,3,0,1,0,70,13,6,0,51,"Cook"
"1287","G1700310840800","Illinois","17031",2010,3638,3489,44,2,1,36,0,5,15,0,0,16,0,1,0,0,0,1,0,0,0,0,0,0,65,2,0,0,63,"Cook"
"1288","G1700310841000","Illinois","17031",2010,39,29,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,5,0,0,0,5,"Cook"
